installations,gplay-name,gplay-technical-name,branding,device
4435,Google Pixel 8 Pro,google husky,Google,husky
2754,Google Pixel 8,google shiba,Google,shiba
2724,Google Pixel 7,google panther,Google,panther
2369,Google Pixel 9 Pro XL,google komodo,Google,komodo
2352,Google Pixel 7 Pro,google cheetah,Google,cheetah
2063,Google Pixel 9 Pro,google caiman,Google,caiman
2031,Google Pixel 6a,google bluejay,Google,bluejay
1508,Google Pixel 9,google tokay,Google,tokay
1311,Google Pixel 7a,google lynx,Google,lynx
1275,Google Pixel 6,google oriole,Google,oriole
1201,Google Pixel 10 Pro XL,google mustang,Google,mustang
1192,Samsung Galaxy S24 Ultra,samsung e3q,Samsung,e3q
1024,POCO X6 Pro 5G,POCO duchamp,POCO,duchamp
995,Samsung Galaxy S23 Ultra,samsung dm3q,Samsung,dm3q
992,Google Pixel 8a,google akita,Google,akita
958,Google Pixel 6 Pro,google raven,Google,raven
928,Google Pixel 10 Pro,google blazer,Google,blazer
821,Samsung Galaxy S25 Ultra,samsung pa3q,Samsung,pa3q
676,Google Pixel 9a,google tegu,Google,tegu
584,Redmi Note 13 Pro+ 5G,Redmi zircon,Redmi,zircon
549,POCO X7 Pro,POCO rodin,POCO,rodin
516,Samsung Galaxy S23,samsung dm1q,Samsung,dm1q
461,Samsung Galaxy A54 5G,samsung a54x,Samsung,a54x
424,CMF by Nothing Phone 1,Nothing Tetris,Nothing,Tetris
366,Samsung Galaxy A55 5G,samsung a55x,Samsung,a55x
364,Samsung Galaxy S22 Ultra,samsung b0q,Samsung,b0q
336,Samsung Galaxy A15 5G,samsung a15x,Samsung,a15x
329,Samsung Galaxy S25,samsung pa1q,Samsung,pa1q
315,Nothing Phone (2a),Nothing Pacman,Nothing,Pacman
306,Motorola motorola edge 50 pro,motorola eqe,Motorola,eqe
