installations,gplay-name,gplay-technical-name,branding,device
5257,Google Pixel 8 Pro,google husky,Google,husky
3239,Google Pixel 7,google panther,Google,panther
2956,Google Pixel 8,google shiba,Google,shiba
2823,Google Pixel 7 Pro,google cheetah,Google,cheetah
2576,Google Pixel 6a,google bluejay,Google,bluejay
1656,Google Pixel 6,google oriole,Google,oriole
1580,Google Pixel 9 Pro XL,google komodo,Google,komodo
1335,Google Pixel 7a,google lynx,Google,lynx
1163,Google Pixel 6 Pro,google raven,Google,raven
924,Samsung Galaxy S23 Ultra,samsung dm3q,Samsung,dm3q
866,Google Pixel 9 Pro,google caiman,Google,caiman
780,Samsung Galaxy S24 Ultra,samsung e3q,Samsung,e3q
451,Samsung Galaxy S23,samsung dm1q,Samsung,dm1q
392,Google Pixel 8a,google akita,Google,akita
391,POCO X6 Pro 5G,POCO duchamp,POCO,duchamp
371,Samsung Galaxy A54 5G,samsung a54x,Samsung,a54x
363,Samsung Galaxy S22 Ultra,samsung b0q,Samsung,b0q
287,Nothing Phone (2a),Nothing Pacman,Nothing,Pacman
258,Google Pixel 9,google tokay,Google,tokay
250,Samsung Galaxy S20 FE,samsung r8q,Samsung,r8q
247,Redmi Note 13 Pro+ 5G,Redmi zircon,Redmi,zircon
235,Google Pixel 9 Pro Fold,google comet,Google,comet
232,Samsung Galaxy A34 5G,samsung a34x,Samsung,a34x
213,Samsung Galaxy A52s 5G,samsung a52sxq,Samsung,a52sxq
207,Samsung Galaxy S21 FE 5G,samsung r9q,Samsung,r9q
189,Samsung Galaxy A53 5G,samsung a53x,Samsung,a53x
178,Samsung Galaxy S23+,samsung dm2q,Samsung,dm2q
169,Samsung Galaxy S22,samsung r0q,Samsung,r0q
168,Samsung Galaxy S22 Ultra,samsung b0s,Samsung,b0s
161,Samsung Galaxy A15 5G,samsung a15x,Samsung,a15x
