installations,gplay-name,gplay-technical-name,branding,device
6009,Google Pixel 8 Pro,google husky,Google,husky
3288,Google Pixel 7,google panther,Google,panther
2976,Google Pixel 7 Pro,google cheetah,Google,cheetah
2915,Google Pixel 8,google shiba,Google,shiba
2638,Google Pixel 6a,google bluejay,Google,bluejay
1701,Google Pixel 6,google oriole,Google,oriole
1362,Google Pixel 7a,google lynx,Google,lynx
1218,Google Pixel 6 Pro,google raven,Google,raven
923,Samsung Galaxy S23 Ultra,samsung dm3q,Samsung,dm3q
886,Google Pixel 9 Pro XL,google komodo,Google,komodo
733,Samsung Galaxy S24 Ultra,samsung e3q,Samsung,e3q
399,Samsung Galaxy S23,samsung dm1q,Samsung,dm1q
375,Samsung Galaxy S22 Ultra,samsung b0q,Samsung,b0q
361,Samsung Galaxy A54 5G,samsung a54x,Samsung,a54x
318,Google Pixel 8a,google akita,Google,akita
315,POCO X6 Pro 5G,POCO duchamp,POCO,duchamp
270,Samsung Galaxy S20 FE 5G,samsung r8q,Samsung,r8q
250,Google Pixel 9 Pro,google caiman,Google,caiman
242,Samsung Galaxy A34 5G,samsung a34x,Samsung,a34x
233,Samsung Galaxy A52s 5G,samsung a52sxq,Samsung,a52sxq
216,Redmi Note 13 Pro+,Redmi zircon,Redmi,zircon
193,Samsung Galaxy A53 5G,samsung a53x,Samsung,a53x
190,Samsung Galaxy S21 FE 5G,samsung r9q,Samsung,r9q
188,Samsung Galaxy S22,samsung r0q,Samsung,r0q
180,Samsung Galaxy S23+,samsung dm2q,Samsung,dm2q
159,Samsung Galaxy S21 Ultra 5G,samsung p3s,Samsung,p3s
150,Samsung Galaxy A15 5G,samsung a15x,Samsung,a15x
145,Samsung Galaxy S22 Ultra,samsung b0s,Samsung,b0s
143,Samsung Galaxy S21 5G,samsung o1s,Samsung,o1s
139,Google Pixel 9,google tokay,Google,tokay
